Year,Month,Observations
2019,1,280
2019,2,156
2019,3,182
2019,4,199
2019,5,304
2019,6,300
2019,7,360
2019,8,320
2019,9,269
2019,10,300
2019,11,248
2019,12,214
2020,1,259
2020,2,150
2020,3,256
2020,4,287
2020,5,580
2020,6,910
2020,7,947
2020,8,802
2020,9,658
2020,10,815
2020,11,557
2020,12,462
2021,1,496
2021,2,336
2021,3,493
2021,4,704
2021,5,919
2021,6,730
2021,7,817
2021,8,858
2021,9,887
2021,10,823
2021,11,768
2021,12,646
2022,1,587
2022,2,472
2022,3,497
2022,4,575
2022,5,682
2022,6,631
2022,7,639
2022,8,529
2022,9,557
2022,10,622
2022,11,419
2022,12,390
2023,1,488
2023,2,293
2023,3,366
2023,4,469
2023,5,480
2023,6,442
2023,7,456
2023,8,378
2023,9,421
2023,10,454
2023,11,387
2023,12,358
2024,1,301
2024,2,294
2024,3,317
2024,4,379
2024,5,364
2024,6,460
